author,dates,title,views
ㅇㅇ,2022-01-14 14:41:10,오늘은 윌리엄나온대,28
ㅇㅇ,2022-01-14 14:41:06,Faang의 시대는 갔다 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,99
ㅇㅇ,2022-01-14 14:40:55,광기하면 spi밖에 기억안난다,19
지옥열차,2022-01-14 14:40:16,형냐들 이렇게 하면 시드 금방 불리는 거 맞지?,88
ㅇㅇ,2022-01-14 14:39:37,쏙솔 50초기다려도되냐,42
ㅇㅇ,2022-01-14 14:38:58,오늘 은행주 운명의날,110
숏케이크,2022-01-14 14:38:43,내가 여기 소형주픽 또 기억하는게 avir,31
ㅇㅇ,2022-01-14 13:20:54,연말정산 미리 계산하니 ㅈ같네,42
ㅇㅇ,2022-01-14 13:20:46,난 150일선에서 추매하는데,102
ㅇㅇ,2022-01-14 13:20:43,지금 연봉이 처음에 받던 초봉의 3배인데 사는게 차이가 없음,50
ㅇㅇ,2022-01-14 13:33:34,나 오늘 마소 들어갈까 생각중임,166
ㅇㅇ,2022-01-14 13:33:19,존잘남친구 스폰 한달에 2천받고 미시녀랑사귀는데,141
ㅇㅇ,2022-01-14 13:33:11,나에게는 하락장에 대비한 완벽한 계획이 있다.,99
ㅇㅇ,2022-01-14 13:31:46,미래의 파이어족을 꿈꾸는 투자자들 소리질롸~~,141
ㅇㅇ,2022-01-14 13:54:15,왜 늙으면 배당주사라고해?,158
ㅋ,2022-01-14 13:53:49,내 주식 물린거 복구대신(나제외) 미주갤애들 전원사망vs안한다,40
ㅇㅇ,2022-01-14 13:53:18,짱개새기들은 혁신이 아니라 기술 도둑질로 성장함,29
이비잉,2022-01-14 13:52:42,미국 ㅈ박으니까 국장에 눈가는데,96
ㅇㅇ,2022-01-14 13:51:17,주식은 왜 환불이 안되는거죠?? ㅠㅠㅠㅠ,86
숏케이크,2022-01-14 13:50:55,씨웹 생각보다 멀쩡하다...!,42
ㅇㅇ,2022-01-14 14:21:47,은행주들 실적발표,45
ㅇㅇ,2022-01-14 14:21:42,오늘은 짜장면 데이야,28
ㅇㅇ,2022-01-14 14:21:34,여기 대부분이 지수추종이나 근본주 투자 아님?,74
ㅇㅇ,2022-01-14 14:21:19,기간조정3개월.. soxl -15% fngu -40%...,61
dd,2022-01-14 14:21:15,떡락이아니라면 어제가격은 오겠지,32
ㅇㅇ,2022-01-14 14:21:14,"개인적으로 1분기 인플레 정점에서 슨피,다우 조정 올듯",42
ㅇㅇ,2022-01-14 14:21:05,작년2월이랑 지금이랑 다른점->연준의 포지션,60
ㅇㅇ,2022-01-14 14:21:05,tq68층 저점이라 생각했는데,53
ㅇㅇ,2022-01-14 14:20:12,soxl 60.5  tqqq 78 인데  프장에 손절해야하냐,40
ㅇㅇ,2022-01-14 14:08:00,이렇게 쳐맞아도 아직 나스닥 14층이네,73
ㅇㅇ,2022-01-14 14:07:06,"공탐 아직 중립, 슨피 다우 여전히 버팀",61
ㅇㅇ,2022-01-14 14:06:54,내 대출 기준금리+가산금리인데,103
꼰대,2022-01-14 14:05:35,공포의저점은 미붕이들이 운용사 걱정할때임,92
ㅇㅇ,2022-01-14 14:05:34,배당금도 세금내냐?,62
ㅇㅇ,2022-01-14 14:05:05,오늘은 ㅅㅂ 양심적으로 올라야지 ㅋㅋ,82
_썰물,2022-01-14 14:04:39,요즘 할겜 없나,64
ㅇㅇ,2022-01-14 14:04:09,클라우드플레어 레전드네,109
ㅇㅇ,2022-01-14 14:04:03,좀 째리다가 기술주 빅테크 타라,65
ㅇㅇ,2022-01-14 13:05:06,점심 먹었냐? 짤녀 보고 힘내라,156
ㅇㅇ,2022-01-14 13:04:58,아 이번장 쳐물린거 너무 충격이 크네,265
ㅇㅇ,2022-01-14 13:04:43,속쓸 시발 하루동안 +7에서 -7까지 내리 꽂는거 씹레전드네 ㅋㅋㅋ,161
ㅇㅇ,2022-01-14 13:04:42,황스피 다 말아올렸다ㅋㅋ,69
ㅇㅇ,2022-01-14 13:04:37,정답공개한다. 답은 저점매수다.,66
ㅇㅇ,2022-01-14 13:04:26,폭락장4특) 야한거나옴,110
ㅇㅇ,2022-01-14 13:04:15,금리 1%상승하면 나스닥 10-20% 조정이라더라,106
ㅇㅇ,2022-01-14 13:04:12,상상투자법으로 간다,19
oo,2022-01-14 14:53:32,씨드가 3천으로는 돈 못 벌구나 싶다.,120
뀩,2022-01-14 14:53:30,씨발년들이 환율도 떨구고 주가도 떨구면 어쩌자는거야?,21
스타할사람?,2022-01-14 14:53:23,토스증권에 TQQQ 나왔네.,36
ㅇㅇ,2022-01-14 14:53:13,근데 궁금한 게 있는데,9
ㅇㅇ,2022-01-14 14:53:10,연어 챠트 보고 왔는데 ㅎㄷㄷ,37
ㅍㅍㅍㅍ,2022-01-14 14:53:07,니네 글시 몰라 glsi 바이오주 1대장 ,12
ㅇㅇ,2022-01-14 14:52:57,Cciv 타던시절이 그립다 자고나면 돈복사하던시절,31
ㅇㅇ,2022-01-14 14:52:44,긍정론 판치는거보니 아직 멀었어 ㅋㅋ,28
수키시발,2022-01-14 14:52:22,"해주갤한창할때 신재생형,양키작전주<-좋앗음",13
ㅇㅇ,2022-01-14 14:52:07,월말 금리결정 전까지 탈출해라 ㄹㅇ 계좌 녹는다,28
ㅇㅇ,2022-01-14 14:37:48,Uvxy랑 vixy랑 무슨 차이야?,29
ㅇㅇ,2022-01-14 14:37:34,지금 생산중인 반도체가 다 쓰레기인이유가,104
사용자이름,2022-01-14 14:37:31,티큐 25달러에 2억 대기중,65
ㅇㅇ,2022-01-14 14:37:26,해주갤 잡주는 그날그날 급등주목록 보고 나올걸,30
ㅇㅇ,2022-01-14 14:37:05,환율도 개떨어지노,57
ㅇㅇ,2022-01-14 14:36:57,티큐 77잡앗는데 땅굴파고 내려가는중 ,23
ㅇㅇ,2022-01-14 14:36:39,토토가 낳냐 주식이 낳냐?,33
ㅍㅍㅍㅍ,2022-01-14 14:36:23,작년 광기 티커 : arec kopn uavs aqb tray acb ,52
ㅇㅇ,2022-01-14 14:36:15,진지하게 초장기 적립식 투자로 qqq vs 마소+애플+엔비디아 이건 뭐냐,47
나는아름답다,2022-01-14 13:20:31, 브레이너드 vs 낸시,129
ㅇㅇ,2022-01-14 13:20:31,LG에너지솔루션 공모로 벼락부자 되야지,64
ㅇㅇ,2022-01-14 13:20:28,파월 귀엽게생겼노,35
노무횬,2022-01-14 13:20:18,나스닥 마3의 의미 = 개미가 모르는 씹악재 예정,111
ㅇㅇ,2022-01-14 13:19:43,25일 비둘기 찢어먹는 결정 나오길 빌어본다,33
Color,2022-01-14 13:19:41,떨어질 수도 있고 아닐 수도 있습니다 ㅋㅋㅋㅋㅋㅋ,53
ㅇㅇ,2022-01-14 13:19:26,엔솔 균등 청약 아니야?,60
ㅇㅇ,2022-01-14 13:19:09,ㅋㅋㅋㅋㅆㅂ 골프레슨 보면서 또 쳤다 30시간 5딸,52
ㅇㅇ,2022-01-14 13:18:57,60대 치고 엄청 이쁘긴 하네,304
ㅇㅇ,2022-01-14 13:31:43,브레이너드 씨발년 흑노예 득실거리는 목화밭에다가,65
